time,price,amount
2018-08-27 11:58:46,6669.97,0.03747793
2018-08-27 11:59:49,6666.39,0.001416
2018-08-27 12:00:06,6661.52,0.01945599
2018-08-27 12:00:11,6669.05,0.00141601
2018-08-27 12:01:33,6658.1,0.5
2018-08-27 12:01:34,6656.62,0.5
2018-08-27 12:01:34,6658.09,0.49999999
2018-08-27 12:01:37,6655.52,0.5
2018-08-27 12:01:37,6655.51,0.51034939
2018-08-27 12:01:38,6651.16,0.668
2018-08-27 12:01:38,6650.45,0.0992
2018-08-27 12:01:38,6650.0,0.15018121
2018-08-27 12:01:39,6651.16,0.5
2018-08-27 12:01:39,6646.51,0.00118061
2018-08-27 12:01:39,6645.62,0.0090285
2018-08-27 12:01:39,6645.0,0.5403
2018-08-27 12:01:39,6643.87,0.03
2018-08-27 12:01:39,6643.87,1.5
2018-08-27 12:01:39,6643.41,0.03011522
2018-08-27 12:01:39,6641.35,12.55
2018-08-27 12:01:40,6641.35,0.0992
2018-08-27 12:01:41,6645.12,0.25
2018-08-27 12:01:41,6651.15,0.5
2018-08-27 12:01:48,6649.66,0.00144389
2018-08-27 12:01:53,6651.03,1.5
2018-08-27 12:01:53,6649.9,0.28511894
2018-08-27 12:01:59,6661.27,0.0992
2018-08-27 12:01:59,6661.27,0.3
2018-08-27 12:02:00,6661.27,0.02556513
2018-08-27 12:02:00,6661.27,0.00505785
2018-08-27 12:02:04,6661.27,0.57017702
2018-08-27 12:02:04,6661.27,0.19273738
2018-08-27 12:02:08,6659.04,0.055
2018-08-27 12:02:09,6659.53,0.067
2018-08-27 12:02:34,6660.31,0.00190728
2018-08-27 12:02:34,6661.18,0.03746514
2018-08-27 12:02:34,6661.19,0.07
2018-08-27 12:02:34,6662.48,0.122
2018-08-27 12:02:35,6662.83,0.26862758
2018-08-27 12:02:36,6659.69,0.00166743
2018-08-27 12:02:38,6659.69,0.03466637
2018-08-27 12:02:47,6659.7,0.00181669
2018-08-27 12:03:11,6661.72,0.00155173
2018-08-27 12:03:12,6661.73,0.00748892
2018-08-27 12:03:27,6656.0,0.03568469
2018-08-27 12:04:17,6654.83,0.03756292
2018-08-27 12:04:17,6655.01,0.96243708
2018-08-27 12:04:18,6654.83,0.03756292
2018-08-27 12:04:19,6654.82,1.0
2018-08-27 12:04:19,6654.82,0.013
2018-08-27 12:04:20,6654.82,0.03706943
2018-08-27 12:04:20,6657.08,0.013
2018-08-27 12:04:35,6658.74,0.014
2018-08-27 12:04:37,6660.4,0.0022746
2018-08-27 12:04:49,6660.4,0.00172734
2018-08-27 12:05:08,6660.4,0.01399806
2018-08-27 12:05:18,6661.34,0.04
2018-08-27 12:05:39,6663.0,0.034
2018-08-27 12:05:53,6664.66,0.00112089
2018-08-27 12:06:13,6664.66,0.00208957
2018-08-27 12:06:24,6661.34,0.0375145
2018-08-27 12:06:27,6660.35,0.009747
2018-08-27 12:06:49,6660.22,2.2528
2018-08-27 12:06:49,6660.34,0.00131765
2018-08-27 12:07:48,6660.93,0.00151513
2018-08-27 12:07:52,6660.93,0.01998902
2018-08-27 12:08:11,6660.99,0.00127578
2018-08-27 12:08:11,6661.69,2.5755
2018-08-27 12:08:21,6661.99,0.00142556
2018-08-27 12:09:11,6662.99,0.001
2018-08-27 12:09:22,6660.55,0.02157151
2018-08-27 12:09:50,6655.99,0.00277913
2018-08-27 12:09:50,6655.99,0.00097656
2018-08-27 12:09:59,6653.88,0.3
2018-08-27 12:09:59,6653.88,0.66431531
2018-08-27 12:10:12,6653.97,0.02194566
2018-08-27 12:10:36,6656.15,0.03750617
2018-08-27 12:10:39,6656.99,0.00157721
2018-08-27 12:10:39,6656.99,0.00292882
2018-08-27 12:10:39,6657.53,0.97549397
2018-08-27 12:10:41,6656.99,1.29
2018-08-27 12:10:41,6658.75,0.018
2018-08-27 12:10:42,6658.99,0.00127614
2018-08-27 12:10:42,6658.99,0.00097603
2018-08-27 12:10:42,6658.99,0.00187699
2018-08-27 12:10:42,6658.99,0.00112622
2018-08-27 12:10:42,6658.99,0.00172692
2018-08-27 12:10:42,6658.99,0.00262799
2018-08-27 12:10:42,6659.99,0.00277761
2018-08-27 12:10:42,6660.41,0.018
2018-08-27 12:10:42,6662.07,0.018
2018-08-27 12:10:44,6663.73,0.001
2018-08-27 12:11:08,6663.73,0.017
2018-08-27 12:11:09,6663.73,0.74713807
2018-08-27 12:11:09,6663.99,0.00277574
2018-08-27 12:11:09,6663.99,0.00292589
2018-08-27 12:11:09,6664.99,0.00547617
2018-08-27 12:11:09,6665.39,0.018
2018-08-27 12:11:09,6665.99,0.0024752
2018-08-27 12:11:09,6665.99,0.00097506
